channel_id,url_channel,category,gender,channel_name,country,year,channel_description,comment_count,video_count,view_count,subscriber_count,aux_status,updated_at,next_page_token
UCAA4eBBT2lt4C3YcXMdNOFA,https://www.youtube.com/user/malena010102,Games,F,malena010102,Brasil,2009,"Vídeos um dia sim, um dia não, mas sempre as 12h. Reacts, daily vlogs e gameplays de um jeito divertido e loiro de ser.",0,3585,1055605465,6190000,1,2020-10-15 9:40:13,
UCF5VmU9N3sqqVe-F6E4gewg,https://www.youtube.com/channel/UCF5VmU9N3sqqVe-F6E4gewg,Games,F,Bibi,Brasil,2014,"Fala rapaziada!
Pra quem não me conhece, meu nome é bibi, tenho 19 anos e moro em São Paulo.

Já lancei três livros, ""Um Novo Mundo"", ""Isolados O Enigma"" e o mais recente ""O Diario De Bibi"".
Você pode adquirir todos eles nas maiores livrarias do país.

Meu canal tem um conteúdo bastante alternativo, aqui eu posto vlogs, reacts, faço brincadeiras com os amigos, mostro meu dia, faço uma série de coisas legais. Tenho certeza que você vai curtir, entretenimento é o que não falta! 

E se você quiser ficar mais pertinho de mim, é só me seguir nas redes sociais (@bibitatto).

Vídeos toda terça, quinta e sábado as 18hs!
Um beijão!

? CONTATO COMERCIAL: comercial@bibitatto.com.br",0,2643,1032771373,8400000,1,2020-10-14 9:39:53,
UCcHR0RvLYk33ppkjBw3UaEA,https://www.youtube.com/c/MariMaria/videos,Beleza,F,Mari Maria,Brasil,2014,Dicas de maquiagem e beleza feminina.,0,726,744355218,9440000,1,2020-10-15 9:55:38,
UCD1cYN6EGqZz_4Y413s4xjA,https://www.youtube.com/user/MakeUpByMarianaSaad,Beleza,F,Mariana Saad,Brasil,2011,"Contato Profissional:
contato@blogmarianasaad.com

Conheça o meu blog: www.blogmarianasaad.com",0,858,110818624,1780000,1,2020-10-15 9:55:47,
UCgSvw7asvNq7wJWKMSW28Eg,https://www.youtube.com/c/Biancaandradeoficial,Beleza,F,Boca Rosa,Brasil,2011,"Contato Profissional: assessoria@biancaandrade.com

Caixa Postal 31288
Bianca Andrade
CEP 01309-970
São Paulo/SP",0,622,393670615,5530000,0,2020-10-15 15:44:16,CPoBEAA
UCKtJs_zI1yzswHDWqkqHtWw,https://www.youtube.com/user/draanaescobar,Saúde,F,Dra Ana Escobar,Brasil,2012,"Nosso canal Saúde na Prática tem como objetivo informar saúde de um jeito prático e educativo, para que vocês estejam atualizados e tomem sempre as melhores decisões. Dra. Ana Escobar é uma médica diferente. Pediatra, tem a oportunidade de cuidar da saúde da gente desde que nascemos, por isto entende bem o processo de crescimento, as fases de cada idade. Formada na Faculdade de Medicina da USP sempre se interessou pelo corpo e suas transformações do zero aos cem anos. Sério, CEM anos. Consultora do programa Bem Estar, apresentado na TV Globo todos os dias de manhã, ela sempre está por lá respondendo de pronto as dúvidas dos telespectadores e tratando dos temas mais difíceis com a maior normalidade possível. Afinal, “o que é ser normal?”",0,236,4215879,81200,1,2020-10-14 22:38:22,
UCUp-GSUuNxSZ7cxOg7ZnyqA,https://www.youtube.com/user/tuasaude,Saúde,F,Tua Saúde,Brasil,2013,"Aqui você encontra vídeos, com alta qualidade sobre diversas questões de saúde, de forma clara e bem humorada, que são fáceis de compartilhar com quem precisa, e dá pra ver e rever quantas vezes quiser!

Esses vídeos do Tua Saúde são feitos de forma a completar a informação que está escrita em www.tuasaude.com, mantendo sempre a intenção de produzir conteúdo de qualidade para melhorar a vida de quem está assistindo e precisa saber mais sobre a doença, tratamentos convencional ou alternativo, ou então simplesmente quer ler e aprender mais sobre dietas, saúde e bem estar.",0,437,120511095,1850000,1,2020-10-15 9:35:20,
UCbfUDvKxx8ebV00iz7w-JqA,https://www.youtube.com/user/raquelbenetti,Esporte,F,Raquel Benetti,Brasil,2008,"Canal Oficial da Atleta Raquel Benetti de futebol freestyle - embaixadinhas 

Aprenda fazer as manóbras e acompanhe o dia a dia da atleta.

Contato para eventos e publicidade:

 contato@raquelembaixadinhas.com

www.raquelembaixadinhas.com",0,725,112414406,1720000,1,2020-10-15 14:06:19,
UCZaOZdn-Y-I5ikrofkWBLgQ,https://www.youtube.com/channel/UCZaOZdn-Y-I5ikrofkWBLgQ,Esporte,F,Renata Fan - Jogo Aberto,Brasil,2016,"Canal oficial do programa Jogo Aberto, exibido pela Band de segunda a sexta, das 11h às 13h. Confira diariamente a íntegra e os melhores momentos do programa.",0,6311,583814221,2380000,1,2020-10-15 13:47:45,
UCjBUnLIUZmGE2Uzqy3NHVfA,https://www.youtube.com/channel/UCjBUnLIUZmGE2Uzqy3NHVfA,Fitness,F,Mayra Cardi,Brasil,2013,"INSCREVA-SE NO CANAL: https://goo.gl/6DaaN8

FOLLOW ME:
Instagram: http://instagram.com/mayracardi
Instagram Seca Você:  http://instagram.com/secavoce
Snapchat: http://www.snapchat.com/add/mayracardi

www.mayracardi.com",0,123,26975491,835000,1,2020-10-14 22:33:44,
UCr-FH1xCxc09xNaOKl14Y8g,https://www.youtube.com/channel/UCr-FH1xCxc09xNaOKl14Y8g,Fitness,F,Graciele Lacerda Dia a Dia,Brasil,2019,,0,384,8925448,0,1,2020-10-15 9:40:39,
UCtPPnH5VXmYLOu5WUI7-tPw,https://www.youtube.com/channel/UCtPPnH5VXmYLOu5WUI7-tPw,Fitness,F,Canal Kelly Key,Brasil,2015,"#ProjetoBabaBaby Inscreva-se no canal e mude seu estilo de vida com dicas praticas para entrar em forma.
Loja Oficial: http://www.pbbstore.com",0,458,111056544,1640000,1,2020-10-14 22:38:13,
UCw8PCN0pLtNjWDSAlZv1fCQ,https://www.youtube.com/channel/UCw8PCN0pLtNjWDSAlZv1fCQ,Fitness,F,Tevê Chang,Brasil,2015,Canal da Tábata Chang.,0,15,204126,14300,1,2020-10-14 15:37:44,
UC4d0S_gXjDrVZpGEnRms3ig,https://www.youtube.com/channel/UC4d0S_gXjDrVZpGEnRms3ig,Família,F,TALI MÃE DOS BÊ,Brasil,2011,"maternidade, familia, moda, viagens e muito mais! ????",0,121,4305561,117000,1,2020-10-14 10:05:31,
UCrqpB7Kvh4qao8VtxwuJKkQ,https://www.youtube.com/user/Fla1982,Família,F,Flavia Calina,Brasil,2007,"Meu nome é Flavia Calina e sou professora, uma eterna professora. Em meu canal tento ensinar tudo o que já aprendi na escola, na vida e no YouTube ; )
Aqui você vai encontrar vídeos de maternidade, saúde, e dia-a-dia de uma família que mora nos Estados Unidos. 
Coloco vídeos de Segundas as Sextas. Seja bem-vindo!",0,1812,2714994997,7650000,1,2020-10-15 9:46:43,
UCzl8GLUxwjwTXaKypUHk57w,https://www.youtube.com/channel/UCzl8GLUxwjwTXaKypUHk57w,Família,F,Tatá Fersoza,Brasil,2017,Nasce Uma Mãe,0,198,76111749,1590000,1,2020-10-15 9:32:14,
UCx7HKmnCIIbRBF2FjAoV0bg,https://www.youtube.com/user/deboraaladim,Educação,F,Débora Aladim,Brasil,2013,"Débora Aladim é mineira, estudante de História na UFMG e desde 2013 faz vídeo-aulas que ajudaram milhões de pessoas a estudar e a passar no vestibular. Aqui você vai encontrar vídeo-aulas de História, um método único para fazer redações modelo ENEM e dicas de estudo! 

Com muito amorzinho o canal hoje é um dos maiores canais educativos do Youtube, e Débora já fez aulas até para o Ministério da Educação, além de trabalhar com grandes empresas e lançar materiais didáticos de sua autoria!

Seja bem vindo e bons estudos!

? instagram/twitter/facebook: @dedaaladim

? deboraaladim.com.br",0,340,122298286,2720000,1,2020-10-15 9:36:01,
UCCrD-7Y-I3tgm7TW9NedaSg,https://www.youtube.com/channel/UCCrD-7Y-I3tgm7TW9NedaSg,Gastronomia,F,Sal de Flor,Brasil,2014,"O Sal de Flor nasce de algumas paixões. 
Paixão pela culinária, pela arte e uma recente paixão descoberta: a da fotografia - Food Styling. 

Sou Camila, casada, formada em Design de Interiores e MKT. 
Crescida ao redor das comidas italianas que minha mãe e avós preparavam com muito amor. 

O Sal de Flor é minha terapia. 
É onde meus momentos de lazer e descobertas são compartilhados com o mundo. 
As portas estão abertas. Mi casa, su casa.",0,377,7552286,213000,1,2020-10-14 22:38:13,
UCpCJ1AS4afAWOJ5pNMFh4Dw,https://www.youtube.com/user/nocedanielle,Gastronomia,F,Danielle Noce,Brasil,2011,"Seja muito bem vinda neste canal que você encontra uma curadoria de tudo que é MUITO BOM na vida! Aqui eu te mostro os lugares mais incríveis para você conhecer, as comidas mais deliciosas onde você precisa comer e muitas outras curiosidades e descobertas ao redor do mundo! Vem se divertir, que eu te levo para os lugares mais legais junto comigo!

Espero que gostem e inscrevam-se http://bit.ly/danidoce

Email para contatos comerciais: comercial@wtf.maison",0,1167,410326824,2950000,1,2020-10-14 10:08:14,
UCRbXS1MKrZ55Vm5G9336BKw,https://www.youtube.com/channel/UCRbXS1MKrZ55Vm5G9336BKw,Gastronomia,F,Receitas da Cris,Brasil,2015,"Bem Vindos Ao Canal Receitas Da Cris ! Se Inscrevam , Curtam E Favoritem Para Mais Receitinhas Deliciosas !!!  

Vídeos novos as segundas, quartas e sextas a partir das 16:00
          
Quer me envia algo, algum mimo, minha caixa postal abaixo:

Receitas Da Cris
Endereço: 
Caixa Postal 13502 
CEP: 80.420-981 
Curitiba - PR

Me Sigam Nas Redes Sociais!!",0,639,365284906,4940000,0,2020-10-15 15:26:45,CIoFEAA
UCyEMfGboxLhNCtg05MfRKnA,https://www.youtube.com/channel/UCyEMfGboxLhNCtg05MfRKnA,Gastronomia,F,TPM por Ju Ferraz,Brasil,2014,"O canal de receitas mais gostoso e útil da internet para mulheres naqueles dias infernais! ;)
E agora tem um livro lindo e incrível, dá uma olhada: https://goo.gl/R9c8Xr

Eu sou a Ju Ferraz e toda semana temos vídeos incríveis por aqui!
Inscreva-se para não perder nada :D
É só clicar nesse link aqui: http://bit.do/seinscrevanoTPM

Segunda, quarta e sexta, às 14:00!
 
Contato:
contato@tpmpraquetequero.com

Nossas outras redes:
Instagram TPM: http://www.instagram.com/tpmpraquetequero
Instagram Ju: http://www.instagram.com/juferrazf
Facebook: http://www.facebook.com/tpmpraquetequero

São Paulo/SP
Snack Network Partner
TPM, pra que te quero?",0,834,75940903,920000,1,2020-10-14 9:55:51,
UCm-yjfeB81xtBIOdCNBPIuQ,https://www.youtube.com/channel/UCm-yjfeB81xtBIOdCNBPIuQ,Viagem e Turismo,F,Prefiro Viajar,Brasil,2015,"Dicas, vídeos, curiosidades... O principal objetivo do Prefiro Viajar é inspirar você e fazer você viajar sem sair de casa! Vambora?

Inscreva-se no nosso canal e acompanhe as novidades! É sempre bom ter você por aqui! :)",0,245,5554966,92900,1,2020-10-15 9:42:22,
UCrmbWZOZ4Tf2O8fxuFTrtHg,https://www.youtube.com/user/raquelffurtado,Viagem e Turismo,F,Raquel Furtado,Brasil,2011,,0,24,160302,3130,1,2020-10-14 11:58:41,
UC8mDF5mWNGE-Kpfcvnn0bUg,https://www.youtube.com/channel/UC8mDF5mWNGE-Kpfcvnn0bUg,Empreendedorismo e Negócios,F,Me Poupe,Brasil,2015,"Sobra mês no fim do salário? Você quer saber como fazer renda extra? Quer começar a investir, mas não sabe por onde começar? Tem dívidas e quer sair dessa situação? Inscreva-se no Me Poupe! e descubra tudo o que ninguém nunca teve tesão de te falar sobre dinheiro - e de um jeito que você nunca imaginou! Videos novos, gratuitos e incrivelmente valiosos $$$$ toda segunda e quinta-feira, às 12h. A Nath (eu) e todo o meu time estão aqui pensando em como te enriquecer licitamente.",0,746,310546089,5420000,1,2020-10-14 11:23:15,CO4FEAA
UCbE7YGLZ-VY0oCgIsCSJ5Sg,https://www.youtube.com/user/joutjoutprazer,Comportamento e Estilo de Vida,F,Jout Jout,Brasil,2012,"Opa! Tudo bom?
Este é o meu, seu, nosso canal! Não temos tema nem roteiro, ok? Eu só meio que vou falando e vocês meio que vão ouvindo e a gente meio que vai se amando.

Se quiser me mandar um emailzim sobre parcerias maravilhosas: contato@oilupi.com (sim, agora eu tenho uma agente #sofisticada #chiquérrima #poderosíssima)
Se quiser oficializar nossa amizade: https://www.facebook.com/prazerjoutjout
Se quiser ver fotos da Margot: http://instagram.com/joutjout
Se quiser me mandar coisas estranhas pelo correio: CEP 24.020-971 | Nº da Caixa Postal 100 304 | Brasil

Beijo em cada um desses narizinhos lindos!",0,524,300417850,2420000,1,2020-10-15 15:39:09,
UCF108KZPnFVxP8lILiJ1kng,https://www.youtube.com/channel/UCF108KZPnFVxP8lILiJ1kng,Comportamento e Estilo de Vida,F,Gabi Oliveira,Brasil,2015,"Gabi Oliveira é comunicadora social e criadora de conteúdo para internet, atualmente reúne um público de seguidores virtuais em suas redes de aproximadamente 1 milhão de pessoas, sendo um dos canais participantes do programa Creators For Change, da Google. 

É também parceira-colaboradora da Avaaz na luta contra a desinformação no Brasil e colaboradora de uma das campanhas da ONU Brasil. Ela já palestrou no Brazil Conference na Universidade de Harvard, pontuando a importância do ativismo digital. Além disso, sua palestra no TEDx intitulada “Um novo olhar sobre a pessoa negra; novas narrativas importam” já conta com mais de 200 mil visualizações na plataforma Youtube.


********

E-mail: depretas@gmail.com

Assessoria: ecortes.assessoria@gmail.com

Instagram: www.instagram.com/gabidepretas

Facebook:  www.facebook.com/depretas",0,271,22001811,614000,1,2020-10-14 22:39:06,
UCqV7ADkocFVOLxvPGqTEyDw,https://www.youtube.com/user/mulherbemresolvida,Comportamento e Estilo de Vida,F,Cátia Damasceno,Brasil,2013,"Esse canal foi criado para falar sobre sexo e relacionamento como esses assuntos deveriam ser tratados: com naturalidade, sem tabus e preconceitos. Contato para publicidades, shows, eventos e palestras: leandroladeiran@gmail.com / (61)996300061
Caixa Postal : 15069
CEP: 72130-970",0,677,487829235,7100000,0,2020-10-15 15:26:16,CLwFEAA
UCy9xDEfMD8jrXU3NatFLLtw,https://www.youtube.com/user/barbiepahetaci,Comportamento e Estilo de Vida,F,Taciele Alcolea,Brasil,2009,"Contato profissional para Trabalhos: contato@tacielealcolea.com
Sejam sempre bem vindos ao nosso canal, sou muito grata por cada pessoa que me acompanha e curte o meu trabalho, faço o máximo para compartilhar tudo que sei sobre o universo feminino e assim vamos crescendo e aprendendo juntos ;)",0,1532,743924678,5750000,1,2020-10-14 22:39:06,
UCZfId64U0uXqaSsAQCsp7Qg,https://www.youtube.com/user/evelynregly,Comportamento e Estilo de Vida,F,Evelyn Regly,Brasil,2006,"Humor, entretenimento, universo feminino (resenhas reais, maquiagem, cabelo etc), viagens, saúde e variedades em geral :) 

CONTATO PROFISSIONAL contato@edobabado.com.br

CONTATO PESSOAL contatoevelynregly@edobabado.com.br",0,1023,481913714,4470000,1,2020-10-15 9:31:06,
UCeLKFk_pGGF5B-EURnBW03w,https://www.youtube.com/channel/UCeLKFk_pGGF5B-EURnBW03w,"Cidades, Arquitetura e Urbanismo",F,Lorena Lima - Decore Interiores,Brasil,2015,"Oi, eu sou a Lorena Lima de Brasilia, tenho 22 anos, formada em design de interiores e criadora dos maiores blogs de arquitetura e decor no instagram. Além deles dois, também tenho o Lorena Lima Interiores, onde posto o meu trabalho autoral =) Aqui vocês acompanharão dicas de decor, viagens, arquitetura e muito lifestyle. 
_______________________________________
www.instagram.com/lorenalima_interiores
www.instagram.com/decorcriative
www.instagram.com/decoreinteriores

Email: lorenalimainteriores@icloud.com
Caixa Postal:  942
CEP 71805970 Brasilia - DF",0,48,1304391,43900,1,2020-10-14 22:35:52,
UCJPBb2LymNh0EnSmIFYf02g,https://www.youtube.com/user/arquitetapage,"Cidades, Arquitetura e Urbanismo",F,Arquitêta - Arquitetura & Arte,Brasil,2012,"ARQUITÊTA - ARQUITETURA & DESENHO

Plataforma de Curso Online http://bit.ly/2sHUuqb

Mídias sociais:http://bit.ly/arquitetapagelink

? INSCREVA-SE ?
http://bit.ly/1nCXAja

#arquitetura - #desenho - #projeto - #arquiteta - #arquiteto - #curso",0,142,5189992,153000,1,2020-10-14 22:35:52,
UCQbdsX9AVd8sF35p8825NcQ,https://www.youtube.com/channel/UCQbdsX9AVd8sF35p8825NcQ,"Cidades, Arquitetura e Urbanismo",F,Doma Arquitetura,Brasil,2017,"Meu nome é Patricia, sou Arquiteta, Artista Plástica, Casada e Mãe de 2!
Como conciliar trabalho e filhos vivendo em SP?! Nada fácil... cada dia um novo desafio!
A ideia é passar algumas dicas de Arquitetura e Decoração enquanto visito minhas obras.
Pra mim as crianças nunca foram desculpa pra eu não conseguir fazer minhas coisas, pelo contrário! Sempre foram a razão pra eu conseguir alcançar meus objetivos.
As viagens pelo mundo todo, junto com eles, está no Top 10 dessa minha lista de desejos!
________________________________________ 
#Arquitetura
#Decoração
#VidadeMãe
#Filhos
#Viagem
________________________________________ 
http://domaarquitetura.com.br/
www.instagram.com/domaarquitetura

Email para Projetos de Arquitetura: projeto@domaarquitetura.com.br
Email para contatos comerciais (canal): parceria@domaarquitetura.com.br",0,302,65727750,904000,1,2020-10-15 9:39:07,
UC87V8rZPwCmQUP2ug5ND-TA,https://www.youtube.com/user/tvstephania9,"Decoração, Organização e Diy",F,Paula Stephânia,Brasil,2014,"Esse canal funciona como uma flor dente de leão . 
Eu sopro as sementes daqui, e elas florescem por aí. 
Eu dissemino boas ideias de DIY, decoração, culinária, beleza, ciência, bem-estar, amor em forma de pensamentos... e essas ideias podem encontrar em você um solo fértil e florescer. 
E quando florescer, sopre de novo e continue espalhando boas ideias por onde quer que você passe! 
Vamos infestar esse mundo com boas semente regadas com muito amor! 

Muito obrigada pela visita, 
Paula Stephânia",0,321,367565290,4010000,1,2020-10-14 22:37:23,
UCqELvJZyaMtvdAfb66zdhNg,https://www.youtube.com/user/rafitchaoliv,"Decoração, Organização e Diy",F,Organize Sem Frescuras,Brasil,2010,"Bem vindo ao maior canal de organização do Brasil! 

Você sabia que dá para deixar a organização e as tarefas da limpeza mais práticas, divertidas e sem gastar muito dim dim? Aqui no canal, você verá dicas simples e eficientes de organização pessoal e da casa, limpeza sem frescuras e várias inspirações de decoração para você deixar a casa pra lá de charmosa e sua vida muito mais prática!!
---
Rafaela Oliveira é personal Organizer, formada em Design de Produto e pós-graduada em Design de Interiores. Apaixonada pela profissão, criou o blog (2012) e o canal Organize Sem Frescuras para contar um pouco de suas experiências com a organização e ajudar a todos que queiram deixar a casa linda, organizada e o principal: a vida mais prática! Para compartilhar mais dicas sobre o assunto, escreveu o Livro Organize sem Frescuras - Com menos tempo e menos dinheiro ( Editora Astral Cultural, 2017). Atualmente,  participa da Panflix e comanda o Podcast Organize sem Frescuras, ambos da Jovem Pan.",0,605,119815108,1510000,0,2020-10-15 15:28:00,
UCsI7mekQazJGcg39GQW3GbQ,https://www.youtube.com/channel/UCsI7mekQazJGcg39GQW3GbQ,"Decoração, Organização e Diy",F,Diycore com Karla Amadori,Brasil,2015,"No canal Diycore, Karla Amadori traz Decorações, Reformas e DIY com simplicidade e um feeling divertido. São dicas úteis e possíveis de serem praticadas para transformar casas em verdadeiros lares.
Com mais vida, cor e alegria, busca com que as pessoas possam se sentir bem dentro de casa, criando um ambiente que seja a sua cara, esteja numa casa própria de 2 andares e 200m² ou num apartamento alugado de 20.

CAIXA POSTAL 10245
CEP 88062-970
Florianópolis - SC

Contato: contato@diycore.com.br",0,579,116956229,1680000,1,2020-10-15 9:30:52,
UC-8Uff7i2h5qtIvjXJDJqYA,https://www.youtube.com/user/BlogGuindaste,Meio Ambiente e Sustentabilidade,F,Minhas Plantas,Brasil,2007,"Carol Costa é jardineira, criadora do site Minhas Plantas, colunista da rádio Band News FM e da revista Natureza, autora de 4 livros, apresentadora, e dá aulas de jardinagem. Todo domingo, às 10h, tem vídeo novo no canal Minhas Plantas.",0,376,62556486,1050000,1,2020-10-14 22:29:36,
UCmgNZ_BA_TTPujLxQbC8MwQ,https://www.youtube.com/channel/UCmgNZ_BA_TTPujLxQbC8MwQ,Meio Ambiente e Sustentabilidade,F,Menos 1 Lixo,Brasil,2014,"Menos 1 Lixo é uma plataforma de educação ambiental, empoderando o individuo de que ele pode mudar o mundo através de pequenos gestos e grandes questionamentos. O movimento tem como maior agente de transformação o copo retrátil e de silicone e como idealizadora a ativista ambiental Fe Cortez. Estamos aqui pra te mostrar que dá pra viver com menos lixo e impactar cada vez menos o planeta. Juntos somos muito mais forte! 

Para saber mais sobre consumo consciente: http://bit.ly/siteM1L
Para conhecer os produtos do Menos 1 Lixo: http://bit.ly/lojaM1LYT",0,235,9089609,94900,1,2020-10-15 9:43:03,
UCoiJu7py8wlmb3OtkmPvHqA,https://www.youtube.com/channel/UCoiJu7py8wlmb3OtkmPvHqA,Meio Ambiente e Sustentabilidade,F,Casa sem Lixo,Brasil,2017,"Olá! Eu sou a Nicole. Em nossa casa moram 4 pessoas, dois adultos e duas crianças – uma família. É claro que não existe casa sem lixo, mas optamos por uma caminhada em busca de uma vida sem “desperdícios”, temos nos esforçado para nos livrar de tudo afeta negativamente à natureza ou que não terá um destino saudável a ela. Saiba mais em www.casasemlixo.com.br",0,213,1210742,41000,1,2020-10-14 9:47:11,
UCxKWYA49k16BoF8YzS1VbvA,https://www.youtube.com/channel/UCxKWYA49k16BoF8YzS1VbvA,"Economia, Política e Atualidades",F,Gabriela Prioli,Brasil,2020,Advogada criminalista. Comentarista política da CNN Brasil. Uma convivência pacífica entre a superfície e o profundo.,0,117,19065209,587000,1,2020-10-14 22:39:39,
UCiNK_NdXwJXVD_RjDgCAlNQ,https://www.youtube.com/user/machomoda,Moda,M,Macho Moda,Brasil,2013,"Macho Moda - Moda Masculina: Mais Estilo para o Homem do Dia a Dia!
Canal Oficial do Youtube do Macho Moda, blog de Moda Masculina.

Fala TIME, tudo certo com vocês? :) Aqui quem fala é o Coloral, fundador do Macho Moda, e nesse Canal vocês vão poder encontrar MUITO conteúdo sobre Roupa de Homem, Moda para Homens, Moda Masculina, entre outros assuntos diversos relacionados ao Homem Moderno.

? Dicas de Roupas Masculinas, Tendências Masculinas, Dicas de Produtos para Homens, Dicas de Serviços, Cortes de Cabelo Masculino, Barba, como Combinar Peças e muito mais!

Inscreva-se e ative as notificações para não perder nenhum vídeo, fechou?
Seja bem vindo ao TIME!
Valeu e FUI!!!",0,669,69541162,1080000,1,2020-10-14 10:39:26,
